match_id,event_id,minute,second,team,team_id,player,player_id,recipient,recipient_id,start_x,start_y,end_x,end_y,outcome,length,angle,height,body_part,pass_type
15946,549567bd-36de-4ac8-b8dc-6b5d3f1e4be8,0,0,Deportivo Alavés,206,Jonathan Rodríguez Menéndez,6581,Guillermo Alfonso Maripán Loaysa,6855.0,61.0,40.1,33.8,28.0,,29.76995,-2.7230272,Ground Pass,Left Foot,Kick Off
15946,4e4e4cad-9897-43ec-842d-585a4077f6ce,0,3,Deportivo Alavés,206,Guillermo Alfonso Maripán Loaysa,6855,Rubén Sobrino Pozuelo,6613.0,36.8,27.3,86.5,74.2,Incomplete,68.335205,0.7564208,High Pass,Right Foot,
15946,be27cc25-92b5-4696-b43c-aad957a6119a,0,7,Barcelona,217,Sergio Busquets i Burgos,5203,Ivan Rakitić,5470.0,33.6,5.9,35.1,18.3,,12.4903965,1.4504135,High Pass,,Recovery
15946,b33c0b7f-7456-4efe-b43c-5fd7cbd14689,0,8,Barcelona,217,Ivan Rakitić,5470,Ousmane Dembélé,5477.0,35.1,18.3,36.2,5.3,,13.046455,-1.486382,High Pass,Head,
15946,c587e5ce-fe6e-4cfb-b510-8a8e193699d3,0,10,Barcelona,217,Ousmane Dembélé,5477,Jordi Alba Ramos,5211.0,34.3,4.9,25.3,1.6,,9.585927,-2.7901478,Ground Pass,Right Foot,
15946,c723053c-b956-494b-bb5d-352e1833203a,0,11,Barcelona,217,Jordi Alba Ramos,5211,,,25.7,1.6,90.1,11.5,Incomplete,65.1565,0.15253264,High Pass,Left Foot,
15946,fd5a120d-ce1e-462c-902f-f326ee23cd1f,0,25,Deportivo Alavés,206,Víctor Laguardia Cisneros,6615,,,35.8,69.7,106.4,55.8,Incomplete,71.95533,-0.19439748,High Pass,Right Foot,
15946,d0c8ba85-0f6a-4e32-a6e4-75c18baf3fe3,0,30,Barcelona,217,Marc-André ter Stegen,20055,Gerard Piqué Bernabéu,5213.0,13.5,28.0,22.5,42.5,,17.066048,1.0153025,Ground Pass,Keeper Arm,
15946,a9a9f660-c4cf-4c52-9db5-20aef776fbfa,0,35,Barcelona,217,Gerard Piqué Bernabéu,5213,Nélson Cabral Semedo,6374.0,33.0,48.3,45.2,65.0,,20.681635,0.9398671,Ground Pass,Right Foot,
15946,e87d31dc-2380-4cac-8639-146e150a76da,0,37,Barcelona,217,Nélson Cabral Semedo,6374,Sergi Roberto Carnicer,6379.0,48.8,67.1,54.8,61.8,,8.005623,-0.7235303,Ground Pass,Right Foot,
15946,9aa435bd-4334-47a3-8a80-60703e200a37,0,38,Barcelona,217,Sergi Roberto Carnicer,6379,Nélson Cabral Semedo,6374.0,54.8,61.8,49.7,65.0,,6.0207973,2.5812328,Ground Pass,Right Foot,
15946,9f24a4c3-2d65-4590-899f-1153b48bca30,0,40,Barcelona,217,Nélson Cabral Semedo,6374,Samuel Yves Umtiti,5492.0,49.3,62.8,36.6,33.3,,32.117596,-1.9773234,Ground Pass,Right Foot,
15946,791a9174-50ca-40a3-ad51-c144ccb4f1a7,0,44,Barcelona,217,Samuel Yves Umtiti,5492,Jordi Alba Ramos,5211.0,44.8,24.5,54.6,4.4,,22.361797,-1.1171484,Ground Pass,Right Foot,
15946,35dfb3ba-d04e-4833-979e-0c01a755d967,0,46,Barcelona,217,Jordi Alba Ramos,5211,Ivan Rakitić,5470.0,53.3,6.6,54.6,11.9,,5.4571056,1.3302621,Ground Pass,Left Foot,
15946,4d711b2a-d2b3-4a45-9f42-8ecdaeb28135,0,49,Barcelona,217,Ivan Rakitić,5470,Gerard Piqué Bernabéu,5213.0,52.7,16.0,51.2,54.3,,38.32936,1.6099408,Ground Pass,Right Foot,
15946,da9d60dc-8206-4590-9018-65c71f5f847c,0,54,Barcelona,217,Gerard Piqué Bernabéu,5213,Samuel Yves Umtiti,5492.0,55.5,55.3,54.6,33.3,,22.018402,-1.6116827,Ground Pass,Right Foot,
15946,b7fb14ab-9c61-4817-aed9-212364cd4862,1,0,Barcelona,217,Samuel Yves Umtiti,5492,Gerard Piqué Bernabéu,5213.0,62.3,26.0,62.9,44.6,,18.609674,1.5385494,Ground Pass,Left Foot,
15946,5c6126e1-ce1a-4198-a20c-1b5bf9413410,1,4,Barcelona,217,Gerard Piqué Bernabéu,5213,Lionel Andrés Messi Cuccittini,5503.0,65.9,52.1,76.9,73.9,,24.418026,1.1034857,Ground Pass,Right Foot,
15946,0526cda4-48b8-49c2-802f-0fb814dbcdcb,1,6,Barcelona,217,Lionel Andrés Messi Cuccittini,5503,Sergi Roberto Carnicer,6379.0,77.3,74.2,97.6,59.4,Incomplete,25.122301,-0.6299669,Ground Pass,Left Foot,
15946,60fb2016-2915-4a7f-84d0-53c49fbaac67,1,8,Deportivo Alavés,206,Guillermo Alfonso Maripán Loaysa,6855,Rubén Duarte Sánchez,6612.0,22.5,20.7,22.1,17.7,,3.026549,-1.7033478,Ground Pass,Left Foot,Recovery
